,bedroom_abvgr,year_remod/add,overall_cond,house_style,garage_cars,lot_area,neighborhood,bldg_type,total_sf,total_bath,saleprice
0,3,2005,8,2Story,2.0,13517,Sawyer,1Fam,2204.0,2.5,130500
1,4,1997,5,2Story,2.0,11492,SawyerW,1Fam,3035.0,2.5,220000
2,3,2007,7,1Story,1.0,7922,NAmes,1Fam,2114.0,1.0,109000
3,3,2007,5,2Story,2.0,9802,Timber,1Fam,1828.0,2.5,174000
4,3,1993,8,1.5Fin,2.0,14235,SawyerW,1Fam,2121.0,2.0,138500
5,2,2002,6,1Story,2.0,16492,NAmes,1Fam,3405.0,2.5,190000
6,2,2006,5,SFoyer,2.0,3675,Edwards,TwnhsE,1619.0,2.0,140000
7,3,1959,5,1Story,2.0,12160,NAmes,1Fam,2376.0,1.0,142000
8,2,1952,5,1Story,1.0,15783,OldTown,1Fam,1848.0,1.0,112500
9,5,1969,5,2Story,2.0,11606,NAmes,1Fam,3120.0,2.0,135000
10,2,1971,5,2Story,1.0,1680,BrDale,Twnhs,1470.0,1.5,85400
11,2,2005,5,1Story,2.0,7488,CollgCr,1Fam,2416.0,2.0,183600
12,4,2007,7,2Story,2.0,26400,SawyerW,1Fam,2016.0,1.0,131000
13,3,2000,5,2Story,2.0,2645,Somerst,Twnhs,2567.0,2.5,200000
14,3,2007,5,1Story,2.0,9627,CollgCr,1Fam,2712.0,2.0,193000
15,3,2005,5,1Story,2.0,10114,Mitchel,1Fam,2860.0,2.0,173500
16,4,1950,5,2Story,3.0,4571,OldTown,1Fam,1968.0,1.0,98000
17,3,1963,6,1Story,2.0,8816,Sawyer,1Fam,2242.0,1.0,139000
18,3,1977,5,1Story,2.0,8197,Sawyer,1Fam,1945.0,1.5,143500
19,3,2009,5,2Story,2.0,8640,Somerst,1Fam,2303.0,2.5,215200
20,3,1968,5,1Story,2.0,8724,Sawyer,1Fam,1788.0,1.0,129000
21,2,2000,5,1Story,2.0,5664,StoneBr,TwnhsE,3160.0,2.0,278000
