,totrms_abvgrd,fireplaces,garage_yr_blt,garage_cars,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,misc_val,mo_sold,yr_sold,saleprice,total_sf
0,6,0,1976.0,2.0,0,44,0,0,0,0,3,2010,130500,2204.0
1,8,1,1997.0,2.0,0,74,0,0,0,0,4,2009,220000,3035.0
2,5,0,1953.0,1.0,0,52,0,0,0,0,1,2010,109000,2114.0
3,7,0,2007.0,2.0,100,0,0,0,0,0,4,2010,174000,1828.0
4,6,0,1957.0,2.0,0,59,0,0,0,0,3,2010,138500,2121.0
5,6,1,1966.0,2.0,0,0,0,0,0,0,6,2010,190000,3405.0
6,5,0,2005.0,2.0,0,44,0,0,0,0,6,2006,140000,1619.0
7,6,0,1959.0,2.0,0,0,0,0,0,0,5,2010,142000,2376.0
8,6,0,1952.0,1.0,0,324,0,0,0,400,6,2007,112500,1848.0
9,9,2,1969.0,2.0,335,0,0,0,0,0,9,2007,135000,3120.0
10,4,0,1971.0,1.0,0,0,0,0,0,0,7,2008,85400,1470.0
11,6,0,2005.0,2.0,105,58,0,0,0,0,2,2006,183600,2416.0
12,7,1,1900.0,2.0,0,0,0,0,0,0,6,2009,131000,2016.0
13,7,0,2000.0,2.0,169,0,0,0,0,0,12,2008,200000,2567.0
14,6,0,2007.0,2.0,0,50,0,0,0,0,6,2008,193000,2712.0
15,7,0,2004.0,2.0,0,0,0,0,0,0,3,2010,173500,2860.0
16,7,0,1916.0,3.0,0,0,96,0,0,0,5,2008,98000,1968.0
17,5,0,1963.0,2.0,0,80,0,0,0,0,6,2009,139000,2242.0
18,7,1,1977.0,2.0,138,0,0,0,0,0,4,2007,143500,1945.0
19,7,0,2009.0,2.0,169,45,0,0,0,0,6,2010,215200,2303.0
20,5,1,1968.0,2.0,0,0,0,0,0,0,5,2007,129000,1788.0
21,5,1,2000.0,2.0,212,59,0,0,0,0,10,2009,278000,3160.0
22,8,1,2005.0,2.0,243,142,0,0,0,0,7,2006,344133,3462.0
23,6,0,1992.0,2.0,483,21,0,0,0,500,3,2010,185000,2355.0
24,5,0,1955.0,2.0,264,0,0,0,0,0,1,2006,145000,2112.0
25,6,1,1961.0,2.0,0,49,0,0,288,0,4,2009,187500,2906.0
26,5,1,1973.0,1.0,416,144,0,0,0,0,4,2010,138500,1788.0
27,7,1,1937.0,1.0,0,40,0,0,0,0,7,2008,198000,2880.0
28,9,0,1978.7077955601446,0.0,0,0,133,0,0,0,6,2007,119600,2948.0
29,6,1,2003.0,2.0,0,0,0,0,0,2000,7,2007,122900,1596.0
30,9,1,1981.0,2.0,474,120,0,0,0,0,7,2009,278000,5048.0
31,7,2,1931.0,2.0,0,0,0,0,0,0,6,2006,230000,2309.0
32,6,1,1995.0,2.0,0,30,0,0,216,0,4,2006,270000,2988.0
33,5,0,1952.0,2.0,0,48,0,0,0,0,4,2007,125000,1896.0
34,7,1,2007.0,3.0,208,44,0,0,0,0,9,2009,297000,3423.0
35,5,1,1958.0,1.0,0,28,64,0,0,0,4,2009,113500,1302.0
36,6,1,1977.0,1.0,104,26,0,0,0,0,7,2006,127000,2232.0
37,7,1,1977.0,2.0,0,122,0,0,0,0,1,2010,190000,3688.0
38,6,1,1973.0,2.0,0,0,0,0,0,0,9,2007,175500,2484.0
39,5,0,1995.0,1.0,256,0,0,0,0,0,7,2007,146000,1980.0
40,6,0,1965.0,1.0,736,68,0,0,0,0,6,2008,147500,2512.0
41,7,1,2006.0,3.0,216,229,0,0,0,0,9,2006,465000,4152.0
42,4,1,1978.0,2.0,303,30,0,0,0,0,7,2009,165500,2207.0
43,7,0,1954.0,1.0,0,0,0,0,0,0,11,2008,131500,2845.0
44,5,0,1965.0,1.0,0,0,0,0,0,0,2,2008,129500,2080.0
45,9,2,1935.0,2.0,0,0,207,0,0,0,6,2008,257076,2481.0
46,6,0,1977.0,2.0,0,68,0,0,0,0,7,2009,117000,2588.0
47,6,1,1931.0,1.0,0,0,112,0,0,0,2,2008,149000,2278.0
48,6,0,1954.0,1.0,0,0,164,0,0,0,2,2010,128000,2119.0
49,6,0,2003.0,2.0,0,27,0,0,0,0,10,2008,155000,2390.0
50,4,0,2000.0,2.0,0,32,0,0,0,0,6,2006,166000,2280.0
51,7,2,1981.0,2.0,431,44,0,0,0,0,12,2009,135000,3103.0
52,12,2,1978.0,2.0,0,112,0,0,440,2000,7,2006,250000,4176.0
53,5,0,1978.7077955601446,0.0,200,26,0,0,0,0,3,2010,76000,1638.0
54,5,1,1951.0,2.0,0,0,0,0,0,0,6,2006,155000,1791.0
55,7,0,1969.0,1.0,379,36,0,0,0,0,3,2010,158000,2015.0
56,4,0,2004.0,2.0,0,172,0,0,0,0,2,2010,149500,1800.0
57,5,0,1954.0,1.0,0,0,160,0,0,0,3,2006,121000,1872.0
58,6,0,1953.0,1.0,0,0,0,0,0,0,6,2007,136000,2080.0
59,7,1,1996.0,2.0,168,84,0,0,0,0,11,2008,173000,2552.0
60,9,1,1999.0,3.0,132,57,0,0,0,0,4,2010,290000,3422.0
61,11,1,2007.0,2.0,208,364,0,0,0,0,8,2007,303477,3794.0
62,4,2,1977.0,2.0,496,0,0,0,0,0,4,2010,270000,2903.0
63,6,1,1920.0,1.0,0,0,236,0,0,0,6,2008,122250,2676.0
64,6,0,1955.0,1.0,280,0,0,0,0,0,7,2009,153000,2764.0
65,6,0,1978.7077955601446,0.0,0,30,0,0,0,0,12,2007,147000,2240.0
66,5,1,1930.0,1.0,0,0,0,0,0,0,6,2007,148500,1629.0
67,7,0,2004.0,2.0,0,40,0,0,0,0,4,2006,130000,2684.0
68,7,1,2006.0,3.0,158,105,0,0,0,0,6,2007,372000,3604.0
69,6,1,2005.0,2.0,142,20,0,0,0,0,4,2006,213490,2868.0
70,5,2,2009.0,2.0,0,0,0,0,0,0,1,2010,308030,3016.0
71,7,0,1996.0,3.0,0,46,192,0,0,0,9,2008,300000,3872.0
72,6,1,1954.0,2.0,0,0,192,0,0,0,7,2006,159500,1849.0
73,7,0,2004.0,2.0,0,40,0,0,0,0,4,2006,137500,2679.0
74,7,0,2005.0,3.0,208,59,0,0,0,0,4,2006,232000,3232.0
75,4,0,1930.0,2.0,0,0,84,0,0,0,7,2008,93850,1536.0
76,5,1,1924.0,1.0,0,0,116,0,0,0,4,2006,105000,1744.0
77,4,0,1920.0,1.0,49,0,87,0,0,0,5,2008,68500,1040.0
78,12,0,1960.0,2.0,0,0,0,0,0,0,1,2010,154300,3379.0
79,6,0,1978.7077955601446,0.0,0,0,0,176,0,0,9,2007,129850,2537.0
80,6,0,1920.0,2.0,280,0,143,0,0,0,6,2007,114000,1848.0
81,9,1,2009.0,3.0,0,60,0,0,0,0,7,2009,501837,4450.0
82,7,1,1949.0,3.0,418,0,194,0,0,0,6,2008,153900,2292.0
83,5,0,1986.0,2.0,200,0,0,0,0,0,7,2009,130000,1728.0
84,4,0,1997.0,2.0,0,122,0,0,0,0,4,2008,160500,2378.0
85,6,1,2006.0,2.0,228,75,0,0,0,0,6,2006,310090,3332.0
86,5,0,2003.0,2.0,0,41,0,0,0,0,8,2009,184900,2376.0
87,4,0,1956.0,1.0,261,0,156,0,0,0,6,2007,132000,1856.0
88,6,1,1969.0,2.0,312,11,0,0,0,650,8,2009,163000,2624.0
89,4,0,2004.0,2.0,0,172,0,0,0,0,4,2010,155000,1800.0
90,7,0,1969.0,2.0,0,0,0,0,216,0,5,2008,183000,2854.0
91,7,2,1996.0,2.0,225,32,0,0,0,0,6,2007,211000,2852.0
92,6,0,1994.0,2.0,140,32,0,0,0,0,10,2009,184000,2294.0
93,8,0,1979.0,2.0,0,0,0,0,0,0,6,2009,118858,1535.0
94,6,1,1964.0,2.0,227,0,0,0,0,0,4,2010,180500,2304.0
95,5,0,2006.0,2.0,0,60,0,0,0,0,2,2007,166000,2292.0
96,6,1,1960.0,2.0,0,0,0,0,140,0,3,2009,148000,2276.0
97,6,1,1966.0,2.0,0,72,0,0,0,0,1,2007,124000,1968.0
98,6,1,2005.0,2.0,203,47,0,0,0,0,8,2007,277500,3122.0
99,9,1,1995.0,3.0,307,169,168,0,0,0,6,2006,350000,4068.0
100,7,1,2004.0,3.0,214,76,0,0,0,0,9,2008,387000,3768.0
101,5,0,1978.7077955601446,0.0,0,0,144,0,0,0,7,2007,86000,1133.0
102,6,1,1976.0,2.0,280,90,0,0,0,0,5,2008,290000,3097.0
103,5,0,1978.7077955601446,0.0,0,36,94,0,0,0,9,2009,44000,1042.0
104,7,1,2001.0,2.0,125,192,0,0,0,0,6,2009,215000,2765.0
105,6,0,1972.0,2.0,140,153,0,0,0,0,7,2006,146500,2346.0
