,screen_porch,misc_val,mo_sold,yr_sold,saleprice,total_sf
0,0,0,3,2010,130500,2204.0
1,0,0,4,2009,220000,3035.0
2,0,0,1,2010,109000,2114.0
3,0,0,4,2010,174000,1828.0
4,0,0,3,2010,138500,2121.0
5,0,0,6,2010,190000,3405.0
6,0,0,6,2006,140000,1619.0
7,0,0,5,2010,142000,2376.0
8,0,400,6,2007,112500,1848.0
9,0,0,9,2007,135000,3120.0
10,0,0,7,2008,85400,1470.0
11,0,0,2,2006,183600,2416.0
12,0,0,6,2009,131000,2016.0
13,0,0,12,2008,200000,2567.0
14,0,0,6,2008,193000,2712.0
15,0,0,3,2010,173500,2860.0
16,0,0,5,2008,98000,1968.0
17,0,0,6,2009,139000,2242.0
18,0,0,4,2007,143500,1945.0
19,0,0,6,2010,215200,2303.0
20,0,0,5,2007,129000,1788.0
21,0,0,10,2009,278000,3160.0
22,0,0,7,2006,344133,3462.0
23,0,500,3,2010,185000,2355.0
24,0,0,1,2006,145000,2112.0
25,288,0,4,2009,187500,2906.0
26,0,0,4,2010,138500,1788.0
27,0,0,7,2008,198000,2880.0
28,0,0,6,2007,119600,2948.0
29,0,2000,7,2007,122900,1596.0
30,0,0,7,2009,278000,5048.0
31,0,0,6,2006,230000,2309.0
32,216,0,4,2006,270000,2988.0
33,0,0,4,2007,125000,1896.0
34,0,0,9,2009,297000,3423.0
35,0,0,4,2009,113500,1302.0
36,0,0,7,2006,127000,2232.0
37,0,0,1,2010,190000,3688.0
38,0,0,9,2007,175500,2484.0
39,0,0,7,2007,146000,1980.0
40,0,0,6,2008,147500,2512.0
41,0,0,9,2006,465000,4152.0
42,0,0,7,2009,165500,2207.0
43,0,0,11,2008,131500,2845.0
44,0,0,2,2008,129500,2080.0
45,0,0,6,2008,257076,2481.0
46,0,0,7,2009,117000,2588.0
47,0,0,2,2008,149000,2278.0
48,0,0,2,2010,128000,2119.0
49,0,0,10,2008,155000,2390.0
50,0,0,6,2006,166000,2280.0
51,0,0,12,2009,135000,3103.0
52,440,2000,7,2006,250000,4176.0
53,0,0,3,2010,76000,1638.0
54,0,0,6,2006,155000,1791.0
55,0,0,3,2010,158000,2015.0
56,0,0,2,2010,149500,1800.0
57,0,0,3,2006,121000,1872.0
58,0,0,6,2007,136000,2080.0
