lot_shape,utilities,land_slope,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_type_2,heating_qc,electrical,kitchen_qual,functional,garage_finish,garage_qual,garage_cond,paved_drive,overall_qual,overall_cond,saleprice
2,10,3,4,3,4,4,2,8,2,5,5,4,10,3,3,3,5,6,8,130500
2,10,3,4,3,5,4,2,8,2,5,5,4,10,3,3,3,5,7,5,220000
1,10,3,3,4,4,4,2,8,2,3,5,4,10,2,3,3,5,5,7,109000
1,10,3,3,3,5,4,2,2,2,4,5,3,10,5,3,3,5,5,5,174000
2,10,3,3,3,3,5,2,2,2,3,5,3,10,2,3,3,1,6,8,138500
2,10,3,4,3,4,4,2,6,3,5,5,4,5,5,3,3,5,6,6,190000
1,10,3,3,3,5,4,5,8,2,4,5,3,10,5,3,3,5,6,5,140000
2,10,3,3,3,4,4,2,3,2,2,5,3,10,3,3,3,5,5,5,142000
1,10,3,3,3,4,4,2,3,2,3,5,3,10,2,3,3,5,5,5,112500
2,10,1,3,3,5,4,4,3,2,3,5,2,10,2,3,3,5,5,5,135000
1,10,3,3,3,4,4,2,6,2,3,5,3,10,2,3,3,5,6,5,85400
2,10,3,4,3,5,4,4,8,2,5,5,4,10,3,3,3,5,7,5,183600
1,10,3,4,3,1,1,1,1,1,5,5,3,5,2,3,3,2,5,7,131000
1,10,3,4,3,5,4,2,8,2,5,5,4,10,2,3,3,5,8,5,200000
1,10,3,4,3,5,4,4,8,2,5,5,4,10,3,3,3,5,7,5,193000
1,10,3,3,3,6,4,4,2,2,5,5,4,10,3,3,3,5,5,5,173500
1,10,3,3,3,4,4,2,2,2,2,5,3,10,2,2,2,5,5,5,98000
1,10,3,3,3,4,4,2,3,2,3,5,3,10,2,3,3,5,5,6,139000
1,10,3,3,3,4,4,2,2,2,5,5,3,10,3,3,3,5,6,5,143500
1,10,3,3,3,5,4,3,8,2,5,5,4,10,2,3,3,5,7,5,215200
1,10,3,3,3,5,4,2,4,2,4,5,3,10,5,3,3,5,5,5,129000
2,10,3,4,3,5,4,2,8,2,5,5,5,10,5,3,3,5,8,5,278000
2,10,3,4,3,6,4,4,2,2,5,5,5,10,5,3,3,5,8,5,344133
2,10,3,3,4,5,4,2,6,2,5,5,3,10,5,3,3,5,6,7,185000
1,10,3,3,3,4,4,3,3,2,3,5,3,10,5,3,3,5,5,5,145000
2,10,3,3,3,4,4,2,3,2,5,5,3,10,3,3,3,5,6,6,187500
