id,saleprice
2658,137621.01912507683
2718,166726.0564296426
2414,215162.83953524218
1989,99748.47961315385
625,178277.12701398332
333,76322.17081195454
1327,104544.7739620508
858,162340.62457973196
95,172509.35698998405
1568,175426.8511219453
2482,147433.7728344882
1364,122139.03409261978
2584,142466.66210712062
818,271223.5765041036
2673,143147.55242490175
2089,98879.32932245219
1297,150796.04091927642
790,130053.05126718397
2616,186773.79008356156
720,191579.59447294765
222,156188.9407829187
557,136617.25476160913
1148,181121.21211380744
2766,171315.67069243477
534,184896.98474994407
1452,121427.77358318924
630,109750.16229780973
2648,110001.29400729015
125,160294.28457387933
1904,55977.02605865104
1670,102682.00940527173
756,101396.64116519841
717,199632.434233136
1032,145777.04933482152
852,228991.60039538972
1731,192746.845968056
2639,113134.15365573752
2071,85646.55385762476
1267,98696.07747682021
1851,207943.9260127414
567,174489.61446006782
2439,197395.5832031211
1898,148643.28057034954
647,165619.75439216685
2256,218251.3311557148
979,91920.23908913799
1444,220203.42238938168
2485,117417.56305425277
157,136032.99362976162
88,117675.66435327812
2003,97704.41609336063
186,201493.09009487124
1425,244882.40681133675
2695,120776.14912605064
738,92352.47348479822
395,158330.94806434342
1353,168610.60792430793
1878,141367.01041548082
390,146774.03559484798
1456,230796.69510481576
1103,323551.9109511536
1387,134851.7970629708
2070,145083.5880705102
1199,146530.80786864378
2479,177619.4521121739
501,329705.5261907313
2362,72160.14744794974
1718,220941.8321094683
2188,74566.84881577129
1483,139103.31736781006
2557,83382.01246825687
437,355329.43143265473
2224,204493.55474654306
1628,147568.64802634367
397,130842.60309889656
587,208604.4532785809
971,133985.76904580428
2611,127746.7318513341
1887,105698.6945306689
2399,366013.1161089912
2148,197037.63426722365
304,130437.76217885688
1997,133146.62391686405
2817,107063.08267374022
1431,201756.64364633418
427,359635.18528231804
263,127202.45333017141
598,183801.0444657309
2895,258689.73857710254
687,135019.8126129593
1822,134756.99042501056
2191,91795.86616172933
179,102402.12518539198
1009,231348.84759778902
2010,124691.11998527637
1991,132676.82236872707
1411,217877.31661737117
1721,244943.75773059903
1144,199872.34899526928
593,213646.78975294146
575,304726.1108876908
1249,171240.23831599753
1604,117809.2315263307
1064,479507.7527197208
1923,145528.14943399525
1988,117433.59019305336
2325,158957.8949081545
114,204523.82583045796
2700,199758.2764084814
217,150257.23839444865
343,180196.48066013504
386,210849.3807562975
2005,130489.15621387458
2908,138786.8030889834
1814,228799.18344712676
2446,472091.94367494935
208,125403.04662230914
1679,101289.1087874826
822,309956.6664505026
6,188736.1288855921
1781,391631.67198234657
2397,337822.71934056934
2340,312969.1739871154
1618,173592.80429166474
2843,162577.04511534958
1061,368304.7809102925
2786,125651.45920314651
1935,129625.52022440068
1341,115885.26084882987
521,267251.72978064686
2136,135797.02736940642
996,202352.68500052497
227,131101.06603359873
135,176698.58386948635
1167,164757.28194700344
294,236674.27981352631
1776,216043.7735716661
540,160997.64053110417
1717,239468.39568375202
2303,127228.10670703102
116,180179.44845850545
127,156449.90001216636
1371,124551.62146324199
1014,141299.59709100926
1507,112133.20366034412
702,125346.42110960279
750,157911.57822617842
261,145832.88750870642
1559,68001.06740365329
577,232157.0246735242
2812,192330.47315756138
2080,159432.2344223502
1368,105929.44030608947
2376,118090.68486974039
659,110014.26144000632
1235,131916.48923325527
332,66979.01485146314
1917,139825.88563671813
2094,237028.07662229124
1460,272180.4137260356
1471,219020.58432304114
1509,115792.74486558558
1922,124746.00353582308
433,477650.5463694064
460,259749.0839899151
1116,253108.3426395586
1137,154113.97075258358
53,163996.86229329894
2354,274101.62758345157
1475,212250.48803358246
1761,463845.26591046446
842,119210.3665251683
2739,197056.35046762577
2509,151366.54107428342
1007,198710.28124619077
2610,175029.64362718246
1952,76219.29381170205
2719,159201.3801335818
2921,69457.81626184809
1966,149135.54672246182
292,116246.29177522752
1204,176445.89095132472
1829,256166.87483513332
2419,197127.94004466454
391,143666.6100616603
798,108268.40755544766
481,198653.65718476148
193,210768.65398374002
555,122709.87080926355
899,46724.75108546275
2357,182763.49740543356
328,136716.79891001014
1356,102635.85026504158
1154,89135.50512310746
1730,190408.12320365012
2249,174348.68934765446
1119,298816.7311536055
2856,158099.53850978345
1394,139238.91146269476
2587,97179.806297526
61,319497.3505540999
2661,170203.26776349894
2711,144604.14208985714
1147,167324.1816305638
757,111692.28291167505
2623,121163.98137262289
2378,140646.27101383288
1413,140970.7586680801
1722,221516.77288536797
1112,234286.9918768796
1623,187570.36295158078
1201,202023.89188843628
1513,111194.10785509157
957,422768.423245262
1171,235764.3998709228
1145,200386.73408857826
2726,221671.8396214951
703,149651.98374395224
760,123155.2350158958
1964,155533.60089620238
2512,171718.9432213764
159,139281.06886368175
1281,166985.29361673724
468,198080.69080256566
290,130958.19182005175
665,112080.9171141762
1463,250137.6671825596
1792,216015.2407634497
923,172158.03647358553
500,287020.15806911443
1408,191836.52445468633
331,78153.31761542696
170,129901.30140215706
2192,89121.35053333815
2571,276292.927126496
2314,157151.03520437703
2647,92138.1451201319
422,439190.99343183206
2457,338842.2619530172
1838,183142.2776577901
2805,267363.80521338433
1645,156132.1259354737
1711,309729.61403031065
2825,242255.00844400527
322,319345.8585369588
2103,273019.16059979866
342,122945.68150827894
600,121261.08175956807
488,166656.08013127116
1725,312904.69443626225
2246,317886.4587495234
2847,142889.75018862088
806,234804.11641513126
530,238398.64126080216
963,193659.03125611937
2678,100843.56757218763
171,76892.32525982312
2401,420742.4898358084
805,220190.27815676422
2259,254213.34222987504
1748,186864.2264365228
1361,139571.48296058376
1677,103660.07798289694
1406,173792.3549694632
2322,264268.95131509425
688,142780.75618418632
143,145170.13323547074
804,197921.96996529528
1214,201804.4969422638
2828,122145.57169246604
1999,203271.38737974584
2467,201039.26990059658
2665,158522.65105830913
1538,328998.71753632044
398,113344.69099491136
2822,154729.92173483595
2157,129974.46616729582
1856,198510.96202840155
1269,89064.03841738508
2570,96080.69970796409
2320,238701.59570763703
1517,140091.41391012399
2304,126853.24748573487
1312,76952.3347623985
2012,125237.81694866216
506,256283.15007248474
2865,215542.31982956047
2367,104128.98218329484
554,90015.20174777484
238,141386.48069672857
1954,99011.79387598275
2488,108205.16134135425
2291,58917.49748274509
1969,119565.46176468104
2725,181329.3601134027
1482,135244.0301847842
2763,205308.51012134983
503,261420.33886534115
1584,245709.18807662558
1531,143241.77456414024
2210,197070.28220258013
459,328606.24591262976
556,123160.64903568453
1347,133740.06148722116
1290,68614.23795234808
1388,100767.33754240582
1571,343584.16735003097
2754,209348.87755214807
765,126089.65266145125
2494,128511.1672760247
2870,252537.45708408614
7,240751.5989902001
1114,226034.53554505808
2418,277998.7126286352
291,128538.56954551768
18,361602.5227560629
39,381494.9991686749
1001,284324.7379675545
2442,230527.38292124763
616,115868.0470672627
2680,94536.83921235707
1414,119490.86140533746
289,168037.80262793612
40,282142.37250210065
860,128141.40409907373
409,116184.6321811711
673,160291.99204283825
2427,184241.1843752251
2036,216528.0875720093
2564,131552.39600167493
642,180307.00570953824
1008,172849.8452711188
1908,157411.99189377576
2519,209383.65372794785
1369,71867.92167313816
2855,152282.97520436835
712,97820.63151200232
1943,121280.28649972042
1958,134063.58738543827
107,166041.976536699
2295,196496.60214920645
704,103324.40252191573
676,127417.67620473949
259,175866.72900904063
93,277349.82426865667
106,242014.74734906422
2315,178902.14479819778
1050,82464.18331829854
1095,207051.38879415812
2709,160217.56113996368
758,152464.46342705307
1496,162196.30193855765
2370,117451.64783475432
2458,290169.576977644
2733,125693.4084487796
161,241060.79776331387
726,144996.34636481153
845,218621.69015135407
947,267116.3857892181
2232,112249.6433590682
2563,137241.89431554277
2299,149644.72143905098
211,53117.841603525216
605,156597.34952542046
1478,194195.21094115148
2247,289221.79167600337
2274,247869.33376486076
2869,226288.8546467116
967,206750.54862258502
2656,117903.76474962453
667,203634.88151702168
1042,104981.02265841165
2023,150686.1208350691
2447,357757.23406597483
2055,125347.44239931181
2275,309369.2277002366
2204,179728.69860474765
1563,289377.08750918764
483,229346.50013126817
796,122032.52937523485
1526,153127.3171546805
2042,120112.28016044106
442,338045.6860616142
1693,330902.59677711816
1468,216975.0799280568
1430,186333.03837257077
2605,138099.0618421433
1529,205223.56930498313
335,147506.50975071755
1287,116364.44757681806
31,88776.41522809432
1785,336764.84247800417
82,161640.38352178189
2620,118466.00969295937
252,172551.93369274586
721,50715.36420859548
2165,197228.31845318736
2316,196056.97934495646
775,155112.380962561
1558,102943.28136791964
17,219945.4419924434
1022,246670.8702058791
925,117396.47374160774
438,293547.34006085386
1270,141005.44415941346
1272,138295.29365442414
215,127888.3270204995
266,234287.3988257799
2402,305887.37476454035
1250,132029.62717185414
1984,122315.87866483361
1279,145674.53052811138
377,241471.71504654537
1252,97693.77073212864
2156,258660.4835418301
499,325497.2491872563
1374,129569.64701126609
2898,228442.91526968684
401,108673.39638367004
2721,141097.99460813554
2078,259245.31495440227
2589,127383.729670236
1946,242981.69976414484
1334,116271.0664748383
2781,220790.09087025176
431,393514.80769944703
576,198953.41012962162
1474,205874.23586130852
2254,148015.57626342168
2155,282906.1117422421
885,94418.35870685661
643,148963.09440132638
1944,135184.56001356896
480,196814.3349819323
2845,97458.2069801141
2387,335952.9754500863
2407,222345.75435794517
2527,172072.22262605547
2514,136651.12401687552
629,155002.08156541327
80,203610.0402273523
1876,135568.2295261845
1546,113619.8833070437
2518,172076.49124685675
2347,142875.3291918717
783,234302.23554241052
1322,31955.06487249746
194,95884.40606262337
1770,303701.76667269506
2143,136573.4301195345
1229,232795.70608621335
511,279437.3552107344
46,246152.9485351115
1348,153074.08118766756
2465,208384.2294148371
387,231846.4899989789
873,225068.66513564053
1918,107184.00880521978
2764,231986.2496988997
2184,131713.7997298654
934,138982.51991366292
1920,117231.55467238801
2631,144281.63365717616
1768,531159.2248367043
2040,127680.58436506148
1749,220292.09673521272
834,270419.97747118375
1457,229901.27933764562
79,93877.25010858907
2302,124869.57846061955
1817,153020.4557244525
2755,254447.28517131717
359,172058.74842597102
2059,97320.36295636836
2092,222033.726272556
2516,233979.53485738323
150,119156.6070997786
1656,112184.94321661151
83,102762.2778358747
2411,205277.2978224547
795,80955.52825758443
2312,217311.05593311205
2917,116557.9696198923
1624,171985.05699632724
2215,298159.78116610635
1211,144637.68340426614
1485,140700.13698792364
1024,182739.99639330502
570,191795.28791200183
2874,150613.05775714223
700,126825.98146183393
2756,228987.09021200717
2022,188481.2969167648
583,234635.69093707448
2392,382762.5883627299
2424,174804.8333764925
212,93824.16058771964
736,126478.35750049981
1610,167250.7442050008
890,121374.43423523486
467,181072.22341107915
578,179001.16661032464
1747,192039.33396052383
1149,149152.4093070398
2758,263599.14406460046
857,137936.53463957098
2219,261349.57216515392
733,112880.38232099894
2909,109506.13994595245
1798,255176.69491509802
235,126553.36831843585
2366,106382.82154805644
1027,136701.4058595295
1195,145028.99412472348
1303,30314.827030336834
148,197996.4978920609
608,162500.2175551569
2515,218192.0598704212
821,268597.69780440326
2500,272288.5437772989
745,110387.14212330827
